Code,Principal Commodity through MUMBAI AIR,2012-13 (Value in Rs. Crore),2013-14 (Value in Rs. Crore)
99,OTHER COMMODITIES,1591.68,1715.2
G6,GOLD,8916.69,8179.42
G8,OTHER PRECIOUS AND BASE METALS,698.12,0
H5,BULK DRUGS  DRUG INTERMEDIATES,3388.35,3642.3
H8,DRUG FORMULATIONS  BIOLOGICALS,4431.84,4734.41
I1,SURGICALS,610.2,785.63
I3,ORGANIC CHEMICALS,753.39,0
I7,RESIDUAL CHEMICALS AND ALLIED PRODUCTS,1296.68,1159.33
I9,OTHER RUBBER PRODUCTS EXCEPT FOOTWEAR,0,532.33
J7,BOOKS and PUBLICATIONS AND PRINTING,1445.71,750.26
L4,PRODUCTS OF IRON AND STEEL,879.94,958.44
M3,AUTO COMPONENTS/PARTS,0,561.97
M6,HAND TOOLS and CUTTING TOOLS AND IMPLEMENTS MADE OF METALS,759.62,938.76
M7,MACHINE TOOLS,642.24,777.02
M8,MEDICAL AND SCIENTIFIC INSTRUMENTS,4530.12,4848.4
N1,AIR CONDITION AND REFRIGERATION MACHINERY AND PARTS or INDUSTRIAL FURNACES or WATER,910.3,936.47
N4,ELECTRIC MACHINERY AND EQUIPMENT,3015.08,2946.53
N5,IC ENGINES AND PARTS,622.16,601.64
N6,INDUSTRIAL MACHINERY FOR DAIRY or AGRICULTURE or FOOD PROCESSING or TEXTILES or PAPER or C,3406.76,3294.81
N7,MACHINERY FOR ATMS or INJECTING MOULDING MACHINERY or VALVES or ETC,654.09,701.37
O1,OTHER MISC. ENGINEERING ITEMS,1033.72,1083.44
O4,AIRCRAFTS or SPACECRAFTS AND PARTS,3156.23,4014.67
O9,COMPUTER HARDWARE  PERIPHERALS,4738.71,5245.04
P1,CONSUMER ELECTRONICS,1714.5,2295.04
P2,ELECTRONICS COMPONENTS,3767.41,3943.34
P3,ELECTRONICS INSTRUMENTS,3778.59,4141.28
P4,TELECOM INSTRUMENTS,6569.66,8999.2
Sub Total for the Port,Sub Total for the Port,63311.77,67786.29
% Share Of Total Import of the Port,% Share Of Total Import of the Port,89.15%,8945.00%
