Date,POONDI,CHOLAVARAM,REDHILLS,CHEMBARAMBAKKAM
1/1/2017,617,82,450,537
2/1/2017,613,82,441,530
3/1/2017,609,82,432,523
4/1/2017,605,82,423,516
5/1/2017,1018,505,1557,1822
6/1/2017,597,81,407,503
7/1/2017,593,81,399,497
8/1/2017,589,81,393,491
9/1/2017,586,80,387,485
10/1/2017,582,80,381,479
11/1/2017,578,80,375,471
12/1/2017,574,79,369,465
13-01-2017,570,79,363,459
14-01-2017,566,79,357,452
15-01-2017,563,78,351,446
16-01-2017,560,78,345,440
17-01-2017,556,78,339,434
18-01-2017,553,78,333,427
19-01-2017,550,78,327,421
20-01-2017,546,78,321,415
21-01-2017,546,78,315,408
22-01-2017,551,77,311,401
23-01-2017,558,77,306,394
24-01-2017,569,77,302,387
25-01-2017,583,77,297,381
26-01-2017,603,77,293,375
27-01-2017,626,76,289,369
28-01-2017,649,75,286,363
29-01-2017,660,73,282,357
30-01-2017,683,72,289,351
31-01-2017,703,71,297,345
1/2/2017,724,69,305,339
2/2/2017,736,68,313,333
3/2/2017,749,67,321,326
4/2/2017,749,67,321,326
5/2/2017,749,67,321,326
6/2/2017,778,62,353,308
7/2/2017,785,61,364,302
8/2/2017,791,59,375,296
9/2/2017,796,58,387,290
10/2/2017,799,56,400,283
11/2/2017,797,55,414,276
12/2/2017,797,53,428,269
13-02-2017,796,52,444,263
14-02-2017,797,50,460,256
15-02-2017,798,49,477,248
16-02-2017,804,47,496,240
17-02-2017,815,46,516,232
18-02-2017,815,46,516,232
19-02-2017,837,43,557,217
20-02-2017,842,41,577,208
21-02-2017,842,40,597,199
22-02-2017,840,38,617,193
23-02-2017,833,37,637,186
24-02-2017,833,35,657,179
25-02-2017,835,34,676,173
26-02-2017,835,34,676,173
27-02-2017,825,31,714,161
28-02-2017,818,29,724,155
1/3/2017,799,28,720,162
2/3/2017,789,26,716,177
3/3/2017,775,25,712,191
4/3/2017,759,23,706,206
5/3/2017,740,22,700,220
6/3/2017,721,20,694,234
7/3/2017,703,19,688,248
8/3/2017,683,17,681,262
9/3/2017,662,16,674,277
10/3/2017,641,15,667,295
11/3/2017,620,14,659,313
12/3/2017,595,13,652,331
13-03-2017,569,12,645,350
14-03-2017,549,11,638,368
15-03-2017,528,10,631,386
16-03-2017,507,9,624,404
17-03-2017,488,8,617,422
18-03-2017,466,7,609,440
19-03-2017,441,6,601,458
20-03-2017,416,6,593,476
21-03-2017,391,6,585,494
22-03-2017,366,5,596,512
23-03-2017,342,4,606,512
24-03-2017,317,3,614,506
25-03-2017,292,2,622,501
26-03-2017,269,1,629,495
27-03-2017,248,0,635,490
28-03-2017,225,0,641,485
29-03-2017,204,0,645,480
30-03-2017,185,0,647,475
31-03-2017,170,0,647,469
1/4/2017,160,0,646,463
2/4/2017,146,0,645,457
3/4/2017,134,0,643,451
4/4/2017,125,0,640,446
5/4/2017,118,0,636,441
6/4/2017,112,0,631,436
7/4/2017,110,0,624,431
8/4/2017,107,0,617,426
9/4/2017,105,0,609,420
10/4/2017,103,0,601,415
11/4/2017,100,0,593,408
12/4/2017,98,0,585,403
